Comment,Gopinath-num,Gopinath1896-img,Gopinath1914-img,Kosambi
,40,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-107.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-103.jpg,512
,41,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-110.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-104.jpg,51
,42,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-111.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-105.jpg,23
,43,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-112.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-106.jpg,50
,44,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-113.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-107.jpg,11
,45,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-114.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-108.jpg,12
,46,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-115.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-109.jpg,58
,47,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-116.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-110.jpg,59
,48,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-117.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-111.jpg,66
,49,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-118.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-112.jpg,56
,50,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-119.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-113.jpg,521
,51,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-120.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-114.jpg,721
,52,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-121.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-115.jpg,61
,53,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-122.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-116.jpg,27
,54,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-123.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-117.jpg,24
,55,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-124.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-118.jpg,37
,56,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-125.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-119.jpg,10
,57,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-126.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-120.jpg,60
,58,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-127.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-121.jpg,35
